Country,Region,adm1_code
Guinea,Mamou,40706
Guinea,Nzerekore,40707
Guinea-Bissau,Bafata,1385
Guinea-Bissau,Biombo,1386
Guinea-Bissau,Bolama/bijagos,1387
Guinea-Bissau,Cacheu,1388
Guinea-Bissau,Gabu,1389
Guinea-Bissau,Oio,1390
Guinea-Bissau,Quinara,1391
Guinea-Bissau,Sector Autonomo De Bissau,1392
Guinea-Bissau,Tombali,1393
Haiti,Artibonite,1409
Haiti,Centre,1410
Haiti,Grande Anse,72911
Haiti,Nippes,72912
Haiti,Nord,1412
Haiti,Nord Est,1413
Haiti,Nord Ouest,1414
Haiti,Ouest,1415
Haiti,Sud,1416
Haiti,Sud Est,1417
Honduras,Atlantida,1420
Honduras,Choluteca,1421
Honduras,Colon,1422
Honduras,Comayagua,1423
Honduras,Copan,1424
Honduras,Cortes,1425
Honduras,Francisco Morazan,1426
Honduras,Gracias A Dios,1427
Honduras,Intibuca,1428
Honduras,Islas De Bahia,1429
Honduras,La Paz,1430
Honduras,Lempira,1431
Honduras,Name Unknown,1432
Honduras,Ocotepeque,1433
Honduras,Olancho,1434
Honduras,Paraiso,1435
Honduras,Santa Barbara,1436
Honduras,Valle,1437
Honduras,Yoro,1438
India,Andaman and Nicobar,1484
India,Andhra Pradesh,1485
India,Arunachal Pradesh,70072
India,Assam,1487
India,Bihar,70073
India,Chandigarh,70074
India,Chhattisgarh,70075
India,Dadra and Nagar Haveli,70076
India,Daman and Diu,70077
India,Delhi,1489
India,Goa,1490
India,Gujarat,1491
India,Haryana,1492
India,Himachal Pradesh,1493
India,Jharkhand,70078
India,Karnataka,1494
India,Kerala,1495
India,Lakshadweep,1496
India,Madhya Pradesh,70079
India,Maharashtra,1498
India,Manipur,1500
India,Meghalaya,1501
India,Mizoram,1502
India,Nagaland,1503
India,Orissa,1504
India,Puducherry,70080
India,Punjab,1505
India,Rajasthan,1506
India,Sikkim,1507
India,Tamil Nadu,1508
India,Tripura,1509
India,Uttar Pradesh,70081
India,Uttarakhand,70082
India,West Bengal,1511
Indonesia,Bali,1513
Indonesia,Bangka Belitung,73609
Indonesia,Banten,73610
Indonesia,Bengkulu,1514
Indonesia,Daerah Istimewa Yogyakarta,1515
Indonesia,Dki Jakarta,1516
Indonesia,Gorontalo,73611
Indonesia,Jambi,1518
Indonesia,Jawa Barat,73613
Indonesia,Jawa Tengah,1520
Indonesia,Jawa Timur,1521
Indonesia,Kalimantan Barat,1522
Indonesia,Kalimantan Selatan,1523
Indonesia,Kalimantan Tengah,1524
Indonesia,Kalimantan Timur,1525
Indonesia,Kepulauan-riau,73614
Indonesia,Lampung,1526
Indonesia,Maluku,73615
Indonesia,Maluku Utara,73616
Indonesia,Nangroe Aceh Darussalam,1512
Indonesia,Nusatenggara Barat,1528
Indonesia,Nusatenggara Timur,1529
Indonesia,Papua,73617
Indonesia,Papua Barat,73612
Indonesia,Riau,73618
Indonesia,Sulawesi Barat,73619
Indonesia,Sulawesi Selatan,73620
Indonesia,Sulawesi Tengah,1532
Indonesia,Sulawesi Tenggara,1533
Indonesia,Sulawesi Utara,73621
Indonesia,Sumatera Barat,1535
Indonesia,Sumatera Selatan,73622
Indonesia,Sumatera Utara,1537
Iraq,Anbar,1564
Iraq,Babil,1571
Iraq,Baghdad,1572
Iraq,Basrah,1565
Iraq,Dahuk,1574
Iraq,Diyala,1575
Iraq,Erbil,1569
Iraq,Kerbala,1576
Iraq,Kirkuk,1570
Iraq,Missan,1577
Iraq,Muthanna,1566
Iraq,Najaf,1568
Iraq,Ninewa,1578
Iraq,Qadissiya,1567
Iraq,Salah al-Din,1579
Iraq,Sulaymaniyah,1580
Iraq,Thi-Qar,1573
Iraq,Wassit,1581
Jamaica,Clarendon,1636
Jamaica,Hanover,1637
Jamaica,Manchester,1638
Jamaica,Portland,1639
Jamaica,Saint Andrew And Kingston,1640
Jamaica,Saint Ann,1641
Jamaica,Saint Catherine,1642
Jamaica,Saint Elizabeth,1643
Jamaica,Saint James,1644
Jamaica,Saint Mary,1645
Jamaica,Saint Thomas,1646
Jamaica,Trelawny,1647
Jamaica,Westmoreland,1648
Jordan,Ajloon,1701
Jordan,Amman,1705
Jordan,Aqaba,1703
Jordan,Balqa,1702
Jordan,Irbid,1707
Jordan,Jarash,1708
Jordan,Karak,1704
Jordan,Ma'an,1709
Jordan,Madaba,1710
Jordan,Mafraq,1711
Jordan,Tafiela,1706
Jordan,Zarqa,1712
Kenya,Central,51325
Kenya,Coast,51326
Kenya,Eastern,51327
Kenya,Nairobi,51328
Kenya,North Eastern,51329
Kenya,Nyanza,51330
Kenya,Rift Valley,51331
Kenya,Western,51332
Kyrgyzstan,Batken,1746
Kyrgyzstan,Bishkek,147293
Kyrgyzstan,Chuy,147294
Kyrgyzstan,Jalal-Abad,1748
Kyrgyzstan,Naryn,1749
Kyrgyzstan,Osh,1750
Kyrgyzstan,Talas,1751
Kyrgyzstan,Ysyk-Kol,1752
Lao People's Democratic Republic,Attapu,1753
Lao People's Democratic Republic,Bokeo,1754
Lao People's Democratic Republic,Bolikhamxai,1755
Lao People's Democratic Republic,Champasak,1756
Lao People's Democratic Republic,Houaphan,1757
Lao People's Democratic Republic,Khammouan,1758
Lao People's Democratic Republic,Louang-Namtha,1760
Lao People's Democratic Republic,Louangphabang,1759
Lao People's Democratic Republic,Oudomxai,1761
Lao People's Democratic Republic,Phongsali,1762
Lao People's Democratic Republic,Salavan,1763
Lao People's Democratic Republic,Savannakhet,1764
Lao People's Democratic Republic,Vientiane,74346
Lao People's Democratic Republic,Vientiane capital,1768
Lao People's Democratic Republic,Xaignabouli,1765
Lao People's Democratic Republic,Xekong,1766
Lao People's Democratic Republic,Xiangkhouang,74347
Lesotho,Berea,1803
Lesotho,Butha Buthe,1804
Lesotho,Leribe,1805
Lesotho,Mafeteng,1806
Lesotho,Maseru,1807
Lesotho,Mohale's Hoek,1808
Lesotho,Mokhotlong,1809
Lesotho,Qacha's Nek,1810
Lesotho,Quthing,1811
Lesotho,Thaba Tseka,1812
Liberia,Bomi,1814
Liberia,Bong,1815
Liberia,Gbarpolu,1816
Liberia,Grand Bassa,1817
Liberia,Grand Cape Mount,1818
Liberia,Grand Gedeh,1819
Liberia,Grand Kru,1820
Liberia,Lofa,1821
Liberia,Margibi,1822
Liberia,Maryland,1823
Liberia,Montserrado,1824
Liberia,Nimba,1825
Liberia,River Gee,1827
Liberia,Rivercess,1826
Liberia,Sinoe,1828
Madagascar,Alaotra Mangoro,41750
Madagascar,Amoron I Mania,41751
Madagascar,Analamanga,41752
Madagascar,Analanjirofo,41753
Madagascar,Androy,41754
Madagascar,Anosy,41755
Madagascar,Atsimo Andrefana,41756
Madagascar,Atsimo Atsinanana,41757
Madagascar,Atsinanana,41758
Madagascar,Betsiboka,41759
Madagascar,Boeny,41760
Madagascar,Bongolava,41761
Madagascar,Diana,41762
Madagascar,Haute Matsiatra,41763
Madagascar,Ihorombe,41764
Madagascar,Itasy,41765
Madagascar,Melaky,41766
Madagascar,Menabe,41767
Madagascar,Sava,41768
Madagascar,Sofia,41769
Madagascar,Vakinankaratra,41770
Madagascar,Vatovavy Fitovinany,41771
Mali,Bamako,1926
Mali,Gao,1927
Mali,Kayes,1928
Mali,Kidal,1929
Mali,Koulikoro,1930
Mali,Mopti,1931
Mali,Segou,1932
Mali,Sikasso,1933
Mali,Tombouctou,1934
Mauritania,Adrar,2004
Mauritania,Assaba,2005
Mauritania,Brakna,2006
Mauritania,Dakhlet-Nouadhibou,2007
Mauritania,Gorgol,2008
Mauritania,Guidimakha,2009
Mauritania,Hodh Ech Chargi,2010
Mauritania,Hodh El Gharbi,2011
Mauritania,Inchiri,2012
Mauritania,Nouakchott,2013
Mauritania,Tagant,2014
Mauritania,Tiris-Zemmour,2015
Mauritania,Trarza,2016
Mexico,Aguascalientes,2028
Mexico,Baja California,2029
Mexico,Baja California Sur,2030
Mexico,Campeche,2031
Mexico,Chiapas,2032
Mexico,Chihuahua,2033
Mexico,Coahuila,2034
Mexico,Colima,2035
Mexico,Distrito Federal,2036
Mexico,Durango,2037
Mexico,Guanajuato,2038
Mexico,Guerrero,2039
Mexico,Hidalgo,2040
Mexico,Jalisco,2041
Mexico,Mexico,2042
Mexico,Michoacan,2043
Mexico,Morelos,2044
Mexico,Nayarit,2045
Mexico,Nuevo Leon,2046
Mexico,Oaxaca,2047
Mexico,Puebla,2048
Mexico,Queretaro,2049
Mexico,Quintana Roo,2050
Mexico,San Luis Potosi,2051
Mexico,Sinaloa,2052
Mexico,Sonora,2053
Mexico,Tabasco,2054
