system:index,ADM1_CODE,ADM2_CODE,ADM2_NAME,Country,Median_Pop,StdDev_Pop,Total_Pop,Year,.geo
1_1_2_0000000000000000205a,1702,36726,Al-Shoona Al-Janoobiya,Jordan,1.530511418547743,1.9440265208451364,45845.518127669726,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000205b,1702,36725,Dair Ala,Jordan,7.625588982676703,9.105516260453493,131230.61420123366,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000205c,1707,36730,Al-Aghwar Al-Shimaliya,Jordan,2.0621146822992076,4.045599888989642,105109.8161194754,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000205d,1707,36735,Al-Koora,Jordan,3.9360875606502237,2.9972024798209964,44290.85681032573,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000205e,1707,36736,Al-Mazar Al-Shimali,Jordan,3.321094051814419,3.5930327382870004,28224.227057197986,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000205f,1707,36731,Al-Ramtha,Jordan,2.6868737666065137,2.5624068262964834,69980.51226073418,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002060,1707,36729,Al-Teeba,Jordan,2.688392779482958,2.862583122049333,84457.58545658684,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002061,1707,36734,Beni Kinana,Jordan,3.688785568895624,3.4390541383612043,86518.7510138374,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002062,1707,36732,Beni Obaid,Jordan,2.6229782985395436,4.483966923990948,94909.69228182014,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002063,1708,36737,Jarash,Jordan,2.313648599797098,3.8513684634042997,152375.45188654782,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002064,1704,36738,Al-Aghwar Al-Janoobiya,Jordan,0.4045552914837985,1.330954141864576,17509.922419945473,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002065,1704,36741,Al-Mazar Al-Janoobi,Jordan,1.056471339180288,3.8005297293198446,46816.85124553378,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002066,1709,36745,Al-Shobak,Jordan,0.3515263155199992,0.34994092501407875,5633.458854914242,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002067,1709,36746,Wadi Moosa,Jordan,0.8026994243264198,2.858987736767042,18425.66391694843,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000000000000000021ad,25350,47603,Administrative unit not available,Montenegro,0.08520958135726799,0.28194390496995103,2993.362044544712,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000000000000000021ae,25351,47604,Administrative unit not available,Montenegro,0.7345995910407731,1.4448879185736938,24196.319287266757,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000000000000000021af,25352,47605,Administrative unit not available,Montenegro,0.20333878471160058,1.2651884377577407,20288.395297339863,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000000000000000021b0,25353,47606,Administrative unit not available,Montenegro,0.9027866149189496,1.8806225339268081,18360.94452315961,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000000000000000021b1,25354,47607,Administrative unit not available,Montenegro,1.6083672593037288,1.1058528439131885,12069.692342986313,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000000000000000021b2,25355,47608,Administrative unit not available,Montenegro,0.35921316755253596,0.8528586059990181,11298.218776378524,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000000000000000021b3,25356,47609,Administrative unit not available,Montenegro,0.4538451611584526,0.9686540075484609,9864.287521840202,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000000000000000021b4,25357,47610,Administrative unit not available,Montenegro,1.0460182478857765,1.694547252628944,15010.102906978773,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000000000000000021b5,25358,47611,Administrative unit not available,Montenegro,0.08229978191197947,0.34428148768840133,2640.056489504736,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000000000000000021b6,25359,47612,Administrative unit not available,Montenegro,0.8895230319715073,0.9872745933072062,6919.372482299641,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000000000000000021b7,25360,47613,Administrative unit not available,Montenegro,0.5544390820938608,0.8551672306917045,2757.48700442431,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000000000000000021b8,25361,47614,Administrative unit not available,Montenegro,0.20024364182954021,1.5317965877229036,35562.22108976365,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000000000000000021b9,25362,47615,Administrative unit not available,Montenegro,0.22595238995356853,0.5836693918754149,6915.056453457131,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000000000000000021ba,25363,47616,Administrative unit not available,Montenegro,0.17240793572612967,1.4098088499476202,13815.014848687068,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000000000000000021bb,25364,47617,Administrative unit not available,Montenegro,0.013606260964159662,0.07396834255267691,377.7198347006431,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000000000000000021bc,25365,47618,Administrative unit not available,Montenegro,1.1543689405947333,2.334992416821694,121394.69391192182,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000000000000000021bd,25366,47619,Administrative unit not available,Montenegro,0.7792932367132556,1.950765567478681,8369.780906115062,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000000000000000021be,25367,47620,Administrative unit not available,Montenegro,0.029200919750194575,0.12029718634571902,333.2011373228522,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000000000000000021bf,25368,47621,Administrative unit not available,Montenegro,1.016181192779338,1.2828983671573202,12083.720975085918,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000000000000000021c0,25369,47622,Administrative unit not available,Montenegro,0.5392867796817921,0.7221183689015085,9735.817118184148,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_000000000000000021c1,25370,47623,Administrative unit not available,Montenegro,0.034897310949819814,0.17295277258407032,1747.2459556282242,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002373,652,6242,Neretvljanski,Bosnia and Herzegovina,0.23428888776586812,0.9435247611134304,147900.99268440346,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002374,652,6244,Sarajevo,Bosnia and Herzegovina,0.10750434957874501,7.945206426807722,353888.05967587326,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002375,652,6248,Zapadnobosanski,Bosnia and Herzegovina,0.14100972756744598,0.559142559154567,46330.30634172781,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002376,652,6249,Zapadnohercegovacki,Bosnia and Herzegovina,0.3906647161185048,0.7714185357779555,76448.5853090657,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002377,653,6253,Bileca,Bosnia and Herzegovina,0.05416487899172771,0.4311426365965776,6686.814538579665,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002378,653,6268,Foca,Bosnia and Herzegovina,0.04188552386445471,0.4919039619302473,11959.648422975191,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002379,653,6269,Gacko,Bosnia and Herzegovina,0.038264431706916284,0.33867330187812267,5168.111643445385,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000237a,653,6279,Kalinovik,Bosnia and Herzegovina,0.010799262001336487,0.09935298497001677,867.600069580817,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000237b,653,6282,Konjic,Bosnia and Herzegovina,0.029062004835481266,0.017928565258148184,2.4951663635086776,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000237c,653,6286,Ljubinje,Bosnia and Herzegovina,0.02227504218113039,0.2571905863540218,1684.3580517562189,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000237d,653,6291,Mostar,Bosnia and Herzegovina,0.04218723571726254,0.026673887202261066,114.00073448891439,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000237e,653,6293,Nevesinje,Bosnia and Herzegovina,0.04467697642643772,0.36133199037550107,6303.584665776348,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000237f,653,6310,Stolac,Bosnia and Herzegovina,0.025645432258366792,0.09573242095048352,1125.8376675017578,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002380,653,6315,Trebinje,Bosnia and Herzegovina,0.10862424149736209,0.7472772468474962,17974.92840573797,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000e82,61510,61537,A L Labban,Egypt,286.50527245843773,67.66186059623453,35458.17075967227,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000e83,61510,61538,Al Amreia,Egypt,0.6664572621935058,10.919137313329127,471774.7571750615,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000e84,61510,61539,Al Attarin,Egypt,185.19868087768555,60.65494677384323,41484.39477824791,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000e85,61510,61540,Al Dikhila,Egypt,74.51343802518623,38.69269983687393,318021.9259861089,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000e86,61510,61541,Al Gumruk,Egypt,215.0594685872396,226.47963932464526,66175.64251852596,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000e87,61510,61542,Al Manshiyya,Egypt,322.0199279785156,120.76196574753479,22385.046625354244,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
