Country,ADM1_CODE,ADM2_CODE,ADM2_NAME,Year,Median_Pop,StdDev_Pop,Total_Pop,Mean_GPP,StdDev_GPP,Mean_LST,StdDev_LST,Mean_NTL,StdDev_NTL,Sum_NTL,Median_NDVI,StdDev_NDVI
Turkey,3032,27617,Pazaryeri,2023,0.13997,1.6478,8347.73966,0.0063569934578944,4510.709603703478,278.7580970499876,0.6851484333601581,6.42742935197415,10.789107744736826,1175.1861415938931,0.4912854135036468,0.0674857690356333
Turkey,3032,27617,Pazaryeri,2024,0.12733,1.68723,8290.90953,0.0064120543794615,4707.945540920931,279.36542808318853,0.5904400697452126,6.2867395201635645,10.491576679780582,1149.4625230906115,0.487382431825002,0.0824724407042278
Turkey,3032,27618,Sogut,2015,0.3058063565344972,3.0129702643152645,17428.045362661152,0.0053897021190923,21061.27916282534,281.33625832799504,2.214672098972535,7.282777656159834,12.6534172792393,1161.0461178661403,0.3771512508392334,0.0608300439646248
Turkey,3032,27618,Sogut,2016,0.3093958794690737,3.129184808703198,18273.67605348445,0.0052808926005118,21217.520997679894,281.5936527855958,2.4857797626800098,7.88578643791242,13.348728673041448,1257.179906119426,0.3722095936536789,0.0630803117940765
Turkey,3032,27618,Sogut,2017,0.3088061467198251,3.066345156093068,18594.011797354164,0.0051501065779714,21395.76452607525,281.15585711019406,2.390721883144447,8.551894275501727,14.03551990105858,1363.3731685567518,0.3634047210216522,0.0666282151112343
Turkey,3032,27618,Sogut,2018,0.3539815439699918,3.3681491376855064,18889.808688780955,0.0053124089965845,21176.309259509875,282.80745099015155,2.5461000241200176,8.822713017917353,14.319949037586197,1406.548048303507,0.3753228560090065,0.0625286543285092
Turkey,3032,27618,Sogut,2019,0.3533620544239514,3.836977962740781,19710.24417996612,0.0052773330455281,21234.476796692896,282.4072968717059,2.160975239234806,9.064326584800462,14.351763171318307,1445.0669358897771,0.3616916313767433,0.0679194425729333
Turkey,3032,27618,Sogut,2020,0.0998387700400229,4.482295096537553,20591.54380696036,0.0051829096472115,21358.634229889263,282.0168215969125,2.476973294305305,9.61159231617389,16.01662511579344,1532.31397031144,0.3630315661430359,0.0687190652645696
Turkey,3032,27618,Sogut,2021,0.05813,4.72311,21087.64562,0.0051017247387179,21477.934946740228,281.30784891491567,2.280479221722829,9.80499409467316,15.95535681874029,1563.1467644343056,0.3602799624204635,0.0668014298558978
Turkey,3032,27618,Sogut,2022,0.01642,4.96392,21583.74743,0.0052492023058884,21277.50757445152,280.6449066892341,2.2972471652295083,9.98247989059643,15.222366558860136,1591.4421764408498,0.374662384390831,0.0694109147808065
