system:index,Country,Mean_Precip,Region,StdDev_Precip,Sum_Precip,Year,.geo
2_000000000000000000e6,United Republic of Tanzania,1221.2582909877483,Tanga,259.0371243281628,15876.357782840729,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000c9,United Republic of Tanzania,1024.5759132920955,Arusha,314.2444618658682,47829.614399329825,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000d7,United Republic of Tanzania,741.8277492170828,Manyara,104.56513398507877,32817.877799678085,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000cc,United Republic of Tanzania,1106.544334633584,Geita,159.51587648745496,26756.67595039482,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000cd,United Republic of Tanzania,843.4477794685496,Iringa,127.1348669698482,11083.896113721998,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000ce,United Republic of Tanzania,1244.3462701248777,Kagera,312.22980855537475,79921.1890670794,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000d1,United Republic of Tanzania,1154.0730010986329,Katavi,71.51356834600645,11540.730010986328,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000dd,United Republic of Tanzania,1174.168617631701,Mwanza,135.37575616242478,71057.921989382,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000de,United Republic of Tanzania,923.1961705142825,Njombe,154.6251851933286,16479.95673796476,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000e0,United Republic of Tanzania,988.6867880225182,Rukwa,135.53704600168717,3954.7471520900726,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000e2,United Republic of Tanzania,852.2915532063541,Shinyanga,67.2292746909697,47404.12195735577,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000e3,United Republic of Tanzania,997.5996371710398,Simiyu,119.51772307777452,37951.81992233827,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000ca,United Republic of Tanzania,1221.86934599677,Dar-es-salaam,121.20659893577493,44461.66926080012,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000cb,United Republic of Tanzania,577.4560230861905,Dodoma,61.59673079548541,17282.9190909561,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000cf,United Republic of Tanzania,2035.865383386612,Kaskazini Pemba,0.0,1540.8706627200631,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000d0,United Republic of Tanzania,848.2251385450363,Kaskazini Unguja,0.0,389.18565180301664,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000d2,United Republic of Tanzania,1233.5105310651966,Kigoma,221.15259879646524,13263.866181101053,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000d3,United Republic of Tanzania,1252.6036668623053,Kilimanjaro,342.92279553173864,74905.69927836586,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000d4,United Republic of Tanzania,2035.865383386612,Kusini Pemba,0.0,487.0109348493464,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000d5,United Republic of Tanzania,827.7625042528942,Kusini Unguja,26.525740763426978,3200.681683111191,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000d6,United Republic of Tanzania,938.7696764469147,Lindi,33.39178776740883,1877.5393528938293,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000d8,United Republic of Tanzania,1329.0828256128932,Mara,149.46627714815892,110152.29975099169,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000d9,United Republic of Tanzania,1180.0008787886206,Mbeya,221.13587310842462,67870.87407526548,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000da,United Republic of Tanzania,835.5552357920229,Mjini Magharibi,18.824084077304562,2391.9816554046142,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000db,United Republic of Tanzania,1028.9201139536772,Morogoro,274.0820057255102,11318.121253490448,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000dc,United Republic of Tanzania,,Mtwara,,0.0,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000df,United Republic of Tanzania,1189.6319193372221,Pwani,124.41979149417188,29055.01017110675,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000e1,United Republic of Tanzania,961.7016219589583,Ruvuma,51.79169148368211,23748.372994021807,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
