Country,Governorate,District,year,adm2_code,XGB+DNN Predicted MPI,XGB+DNN Predicted Severe Poverty %
Bosnia and Herzegovina,Republika Srpska,Nevesinje,2024,6293,0.176300749,13.32162111
Bosnia and Herzegovina,Republika Srpska,Novo Sarajevo,2020,6294,0.03134049475193024,1.377844256
Bosnia and Herzegovina,Republika Srpska,Novo Sarajevo,2021,6294,0.03365370258688927,1.496050158
Bosnia and Herzegovina,Republika Srpska,Novo Sarajevo,2022,6294,0.0378921777009964,1.719424763
Bosnia and Herzegovina,Republika Srpska,Novo Sarajevo,2023,6294,0.03558345511555672,1.596665848
Bosnia and Herzegovina,Republika Srpska,Novo Sarajevo,2024,6294,0.0413646437227726,1.908924901
Bosnia and Herzegovina,Republika Srpska,Odzak,2020,6295,0.264906764,24.29691694
Bosnia and Herzegovina,Republika Srpska,Odzak,2021,6295,0.217666283,18.16426385
Bosnia and Herzegovina,Republika Srpska,Odzak,2022,6295,0.214140832,17.73112312
Bosnia and Herzegovina,Republika Srpska,Odzak,2023,6295,0.230982721,19.83244463
Bosnia and Herzegovina,Republika Srpska,Odzak,2024,6295,0.255713433,23.05815662
Bosnia and Herzegovina,Republika Srpska,Olovo,2020,6296,0.247620761,21.98506586
Bosnia and Herzegovina,Republika Srpska,Olovo,2021,6296,0.223608702,18.90248585
Bosnia and Herzegovina,Republika Srpska,Olovo,2022,6296,0.232570946,20.03471545
Bosnia and Herzegovina,Republika Srpska,Olovo,2023,6296,0.220903665,18.56518646
Bosnia and Herzegovina,Republika Srpska,Olovo,2024,6296,0.240486681,21.05304533
Bosnia and Herzegovina,Republika Srpska,Orasje,2020,6297,0.146456197,10.17901698
Bosnia and Herzegovina,Republika Srpska,Orasje,2021,6297,0.12486620992422104,8.107794207
Bosnia and Herzegovina,Republika Srpska,Orasje,2022,6297,0.120069377,7.671944823
Bosnia and Herzegovina,Republika Srpska,Orasje,2023,6297,0.161461681,11.72001305
Bosnia and Herzegovina,Republika Srpska,Orasje,2024,6297,0.143266022,9.861931605
Bosnia and Herzegovina,Republika Srpska,Pale,2020,6298,0.199257985,15.94339502
Bosnia and Herzegovina,Republika Srpska,Pale,2021,6298,0.257816315,23.33968761
Bosnia and Herzegovina,Republika Srpska,Pale,2022,6298,0.270429611,25.0508472
Bosnia and Herzegovina,Republika Srpska,Pale,2023,6298,0.274798036,25.65222095
Bosnia and Herzegovina,Republika Srpska,Pale,2024,6298,0.268168718,24.74134177
Bosnia and Herzegovina,Republika Srpska,Prijedor,2020,6299,0.203407764,16.43511972
Bosnia and Herzegovina,Republika Srpska,Prijedor,2021,6299,0.197081953,15.6876756
Bosnia and Herzegovina,Republika Srpska,Prijedor,2022,6299,0.191281259,15.01325208
Bosnia and Herzegovina,Republika Srpska,Prijedor,2023,6299,0.208042622,16.99053581
Bosnia and Herzegovina,Republika Srpska,Prijedor,2024,6299,0.199608654,15.98474195
Bosnia and Herzegovina,Republika Srpska,Prnjavor,2020,6300,0.1987091600894928,15.87876032
Bosnia and Herzegovina,Republika Srpska,Prnjavor,2021,6300,0.192801356,15.1889601
Bosnia and Herzegovina,Republika Srpska,Prnjavor,2022,6300,0.170910507,12.73113144
Bosnia and Herzegovina,Republika Srpska,Prnjavor,2023,6300,0.197445795,15.73033035
Bosnia and Herzegovina,Republika Srpska,Prnjavor,2024,6300,0.198785663,15.88776437
Bosnia and Herzegovina,Republika Srpska,Rogatica,2020,6301,0.225235224,19.10630156
Bosnia and Herzegovina,Republika Srpska,Rogatica,2021,6301,0.224907577,19.0651848
Bosnia and Herzegovina,Republika Srpska,Rogatica,2022,6301,0.21315979957580566,17.61123955
Bosnia and Herzegovina,Republika Srpska,Rogatica,2023,6301,0.220161825,18.47304946
Bosnia and Herzegovina,Republika Srpska,Rogatica,2024,6301,0.233760864,20.1867118
