country,adm1_name,adm1_code
Namibia,Omaheke,2145
Namibia,Omusati,2146
Namibia,Oshana,2147
Namibia,Oshikoto,2148
Namibia,Otjozondjupa,2149
Nepal,Central,2152
Nepal,Eastern,2153
Nepal,Western,2156
Niger,Diffa,2203
Niger,Dosso,2204
Niger,Maradi,2205
Niger,Niamey,2206
Niger,Tillaberi,2208
Niger,Zinder,2209
Nigeria,Abia,65698
Nigeria,Bauchi,65699
Nigeria,Ebonyi,65701
Nigeria,Ekiti,65702
Nigeria,Enugu,65703
Nigeria,Gombe,65704
Nigeria,Ondo,65706
Nigeria,Plateau,65707
Nigeria,Rivers,65708
Nigeria,Sokoto,65709
Nigeria,Zamfara,65710
Nigeria,Adamawa,2211
Nigeria,Akwa Ibom,2212
Nigeria,Anambra,2213
Nigeria,Benue,2215
Nigeria,Borno,2216
Nigeria,Cross River,2217
Nigeria,Delta,2218
Nigeria,Edo,2219
Nigeria,Imo,2222
Nigeria,Jigawa,2223
Nigeria,Kaduna,2224
Nigeria,Kano,2225
Nigeria,Katsina,2226
Nigeria,Kebbi,2227
Nigeria,Kogi,2228
Nigeria,Kwara,2229
Nigeria,Lagos,2230
Nigeria,Niger,2231
Nigeria,Ogun,2232
Nigeria,Osun,2234
Nigeria,Oyo,2235
Nigeria,Taraba,2239
Nigeria,Yobe,2240
North Macedonia,Skopje,2948
Pakistan,Balochistan,2272
Pakistan,Punjab,2276
Pakistan,Sindh,2277
Papua New Guinea,Central,2290
Papua New Guinea,Chimbu,2291
Papua New Guinea,East New Britain,2292
Papua New Guinea,East Sepik,2293
Papua New Guinea,Eastern Highlands,2294
Papua New Guinea,Enga,2295
Papua New Guinea,Gulf,2296
Papua New Guinea,Madang,2297
Papua New Guinea,Manus,2298
Papua New Guinea,Milne Bay,2299
Papua New Guinea,Morobe,2300
Papua New Guinea,National Capital District,2301
Papua New Guinea,New Ireland,2302
Papua New Guinea,Southern Highlands,2305
Papua New Guinea,West New Britain,2306
Papua New Guinea,Western,2308
Papua New Guinea,Western Highlands,2309
Paraguay,Alto Paraguay,2311
Paraguay,Central,2318
Peru,Amazonas,2328
Peru,Ancash,2329
Peru,Apurímac,2330
Peru,Arequipa,2331
Peru,Ayacucho,2332
Peru,Cajamarca,2333
Peru,Huancavelica,2336
Peru,Huánuco,2337
Peru,Ica,2338
Peru,Junín,2339
Peru,La Libertad,2340
Peru,Lambayeque,2341
Peru,Lima,2342
Peru,Loreto,2343
Peru,Madre de Dios,2344
Peru,Moquegua,2345
Peru,Pasco,2346
Peru,Piura,2347
Peru,Puno,2348
Peru,San Martín,2349
Peru,Tacna,2350
Peru,Tumbes,2351
Peru,Ucayali,2352
Senegal,Diourbel,47585
Senegal,Fatick,47586
Senegal,Louga,47587
Senegal,Matam,47588
Sierra Leone,Eastern,2654
Sierra Leone,Northern,2655
Sierra Leone,Southern,2656
South Sudan,Central Equatoria,2748
South Sudan,Eastern Equatoria,2750
South Sudan,Western Equatoria,2768
South Sudan,Upper Nile,37021
Sri Lanka,Central,2736
Sri Lanka,Eastern,2737
Sri Lanka,Northern,2740
Sri Lanka,Sabaragamuwa,2741
Sri Lanka,Southern,2742
Sri Lanka,Uva,2743
Sri Lanka,Western,2744
Sudan,Blue Nile,2749
Sudan,Northern,2755
Sudan,Sennar,2762
Sudan,White Nile,2770
Sudan,Red Sea,40772
Sudan,Kassala,68783
Sudan,Khartoum,2753
Suriname,Brokopondo,2771
Suriname,Commewijne,2772
Suriname,Coronie,2773
Suriname,Marowijne,2774
Suriname,Nickerie,2775
Suriname,Para,2776
Suriname,Paramaribo,2777
Suriname,Saramacca,2778
Suriname,Sipaliwini,2779
Suriname,Wanica,2780
Swaziland,Hhohho,2782
Swaziland,Lubombo,2783
Syrian Arab Republic,Damascus,2837
Syrian Arab Republic,Hama,2840
Syrian Arab Republic,Homs,2842
Syrian Arab Republic,Tartous,2846
Tajikistan,Khatlon,2848
Tanzania,Arusha,48357
Tanzania,Manyara,48365
Tanzania,Iringa,115003
Tanzania,Kagera,115004
Tanzania,Mwanza,115006
Tanzania,Shinyanga,115009
Tanzania,Dodoma,48359
Tanzania,Kigoma,48362
Tanzania,Kilimanjaro,48363
Tanzania,Lindi,48364
Tanzania,Mara,48366
Tanzania,Mbeya,48367
Tanzania,Morogoro,48368
Tanzania,Mtwara,48369
Tanzania,Ruvuma,48375
Tanzania,Tanga,48381
Thailand,Bangkok,2853
Timor-Leste,Aileu,2957
Timor-Leste,Ainaro,2958
Timor-Leste,Baucau,2959
Timor-Leste,Bobonaro,2960
Timor-Leste,Covalima,2961
Timor-Leste,Dili,2962
Timor-Leste,Ermera,2963
Timor-Leste,Lautem,2964
Timor-Leste,Liquica,2965
Timor-Leste,Manatuto,2966
Timor-Leste,Manufahi,2967
Timor-Leste,Oecussi,2968
Timor-Leste,Viqueque,2969
Togo,Centrale,2970
Togo,Kara,2971
Togo,Maritime,2972
Togo,Plateaux,2973
Togo,Savanes,2974
Trinidad and Tobago,Tobago,2990
Tunisia,Kairouan,3000
Tunisia,Kasserine,3001
Turkmenistan,Mary,3099
Turkmenistan,Balkan,147322
Turkmenistan,Ahal,147323
Uganda,Kampala,42182
Uzbekistan,Tashkent,3295
Yemen,Aden,144973
Yemen,Abyan,3407
Yemen,Amran,3415
Yemen,Dhamar,3416
Yemen,Hajjah,3418
Yemen,Ibb,3419
Yemen,Lahj,3420
Yemen,Shabwah,3424
Zambia,Central,3426
Zambia,Copperbelt,3427
Zambia,Eastern,3428
Zambia,Luapula,3429
Zambia,Lusaka,3430
Zambia,North-Western,3431
Zambia,Northern,3432
Zambia,Southern,3433
Zambia,Western,3434
Zimbabwe,Bulawayo,3435
Zimbabwe,Harare,3436
Zimbabwe,Matabeleland North,69549
Zimbabwe,Mashonaland East,69550
Zimbabwe,Manicaland,3437
