model,mask,cv_strategy,fold_index,R2,RMSE,MAE,n_test_obs
SVR,yes,timeseries,4,0.7588,0.0817,0.0677,888
SVR,yes,timeseries,5,0.7501,0.0794,0.0638,888
SVR,no,random,1,0.7726,0.0851,0.0677,1138
SVR,no,random,2,0.794,0.0818,0.0647,1138
SVR,no,random,3,0.7808,0.0833,0.0655,1138
SVR,no,random,4,0.7767,0.0857,0.0668,1137
SVR,no,random,5,0.8056,0.0795,0.064,1137
SVR,no,governorate,1,0.3672,0.145,0.1046,1138
SVR,no,governorate,2,0.4936,0.1357,0.1015,1138
SVR,no,governorate,3,0.4487,0.1309,0.0924,1138
SVR,no,governorate,4,0.3245,0.1352,0.1013,1137
SVR,no,governorate,5,0.3701,0.1449,0.1094,1137
SVR,no,country,1,-0.8685,0.2045,0.1559,1137
SVR,no,country,2,0.2359,0.1709,0.1283,1138
SVR,no,country,3,0.3198,0.1554,0.1203,1137
SVR,no,country,4,-0.2589,0.1696,0.1252,1138
SVR,no,country,5,-0.0466,0.1976,0.1486,1138
SVR,no,timeseries,1,0.6681,0.1084,0.0808,948
SVR,no,timeseries,2,0.65,0.1063,0.0808,948
SVR,no,timeseries,3,0.715,0.0945,0.0737,948
SVR,no,timeseries,4,0.7175,0.0881,0.0703,948
SVR,no,timeseries,5,0.2875,0.1398,0.1007,948
XGB,yes,random,1,0.8705,0.0633,0.0454,1066
XGB,yes,random,2,0.8801,0.0596,0.0428,1066
XGB,yes,random,3,0.8809,0.062,0.0444,1066
XGB,yes,random,4,0.8814,0.061,0.0435,1066
XGB,yes,random,5,0.8851,0.0605,0.0445,1066
XGB,yes,governorate,1,0.744,0.0914,0.0685,1066
XGB,yes,governorate,2,0.7421,0.0929,0.0677,1066
XGB,yes,governorate,3,0.6775,0.1,0.0755,1066
XGB,yes,governorate,4,0.7132,0.0908,0.0666,1066
XGB,yes,governorate,5,0.7281,0.0904,0.0663,1066
XGB,yes,country,1,0.6444,0.1236,0.1014,1066
XGB,yes,country,2,0.1148,0.1131,0.0847,1067
XGB,yes,country,3,0.6358,0.1082,0.0807,1065
XGB,yes,country,4,0.5979,0.1096,0.0888,1066
XGB,yes,country,5,0.5853,0.1097,0.0774,1066
XGB,yes,timeseries,1,0.8671,0.0684,0.0473,888
XGB,yes,timeseries,2,0.7633,0.0846,0.0591,888
XGB,yes,timeseries,3,0.8368,0.069,0.0496,888
XGB,yes,timeseries,4,0.8425,0.066,0.0485,888
XGB,yes,timeseries,5,0.8243,0.0666,0.0485,888
XGB,no,random,1,0.845,0.0703,0.0505,1138
XGB,no,random,2,0.8786,0.0628,0.0461,1138
XGB,no,random,3,0.8832,0.0608,0.0442,1138
XGB,no,random,4,0.8784,0.0632,0.0456,1137
XGB,no,random,5,0.8787,0.0628,0.0463,1137
XGB,no,governorate,1,0.6598,0.1063,0.0812,1138
XGB,no,governorate,2,0.7556,0.0943,0.068,1138
XGB,no,governorate,3,0.7528,0.0877,0.066,1138
XGB,no,governorate,4,0.7462,0.0829,0.0631,1137
XGB,no,governorate,5,0.6915,0.1014,0.076,1137
XGB,no,country,1,0.3382,0.1217,0.0933,1137
XGB,no,country,2,0.5856,0.1258,0.0986,1138
XGB,no,country,3,0.6097,0.1177,0.0881,1137
XGB,no,country,4,0.6128,0.094,0.0668,1138
XGB,no,country,5,0.5653,0.1274,0.0969,1138
XGB,no,timeseries,1,0.8323,0.0771,0.0526,948
XGB,no,timeseries,2,0.8193,0.0764,0.055,948
XGB,no,timeseries,3,0.8429,0.0702,0.0532,948
XGB,no,timeseries,4,0.8338,0.0676,0.0504,948
XGB,no,timeseries,5,0.7985,0.0743,0.0552,948
