country,adm1_code,adm2_code,adm2_name,Median_Pop,StdDev_Pop,population_2024,Mean_GPP,StdDev_GPP,Mean_LST,StdDev_LST,Mean_NTL,StdDev_NTL,Sum_NTL,Median_NDVI,StdDev_NDVI,ndvi_lst_ratio
Turkey,3035,27651,Yigilca,-0.02657938637496239,2.904648493526361,12483.526590543433,0.005726967188571428,5872.315234405807,281.174054998425,0.7632238884775597,3.1465583931881995,4.260457978721031,721.8698531760896,0.6159554819266001,0.05583863655873377,0.002190655471145979
Turkey,3039,27692,Atkaracalar,0.005459118542648796,0.11575267390591243,549.2373953414235,0.0018622147847114387,1057.032241294369,276.6759118634235,1.4905667133290634,5.75218015701493,7.886587266097099,488.9804284847555,0.3655485119598713,0.045229342961578975,0.0013212155315505685
Turkey,3039,27693,Bayramoren,0.004830547695062469,0.08867901823955332,410.3626567403127,0.0018632242422827285,1435.5235176486044,279.85927596695336,0.8025059601759649,1.6386967459337707,1.370541989078757,97.1265200707569,0.49174854159355164,0.04685912279339289,0.001757127898993131
Turkey,3039,27694,Cerkes,0.021902091385764808,0.48234601206873295,3552.659854584477,0.0023919111747461104,10143.226881537266,276.51522951524765,1.0199625106006747,4.9276546909994,8.088577917646159,1280.1080680414284,0.3251630167166392,0.05735524686670377,0.001175931673950382
Turkey,3039,27695,Eldivan,-0.002793755185962919,0.36452866655273164,1179.442708263517,0.0028447026725898937,17762.657419974494,280.31218635064437,0.6558422820963469,5.959533332392064,7.916997151497492,469.9384166578024,0.35737988352775574,0.08342363550499624,0.0012749352362465857
Turkey,3039,27696,Ilgaz,-0.012477100852348488,0.48129898973955587,4233.639879060085,0.0034010768143886956,9514.940819189958,278.82371555153,1.132527594085028,5.322765433236227,8.551758794795045,1533.0399391317703,0.4146196246147156,0.0704510521075373,0.001487031416228613
Turkey,3039,27697,Kizilirmak,-0.017938457930231487,1.3517537395351664,4403.706343137668,0.0020920521425827456,1402.0115402377376,281.65887639457753,0.510819077692707,2.932146613148041,4.065792871998847,435.56750472959925,0.29364558060963947,0.04458304179921143,0.0010425575233718879
Turkey,3039,27698,Korgun,-0.010222161048745758,0.33168416504882087,750.4012381334338,0.001052659640772908,1149.9481091411017,280.01409694505537,0.9558146380254684,8.33558740447812,11.094511602516475,734.218151733267,0.3302524983882904,0.04909235699467271,0.0011794138294869234
Turkey,3039,27699,Kursunlu,-0.009229807577438978,0.18168903678512602,1523.7163457315755,0.0037911769929260073,9129.395480521262,277.269697050143,0.9685103077098461,4.451396876407358,5.48065550565213,895.446486949772,0.3409522813041111,0.053496292140755644,0.0012296774040996313
Turkey,3039,27701,Orta,0.14062940657913248,1.3932804815420057,4981.648762001177,0.0026262494713158477,970.0857691910139,275.5500997100353,0.7931420033561043,6.1467931232054225,8.025838761805355,1139.3743943315715,0.3415406346321106,0.035765516439342,0.001239486521658014
Turkey,3039,27700,Merkez,0.07245514774338205,5.416082856215495,63233.824511057785,0.003934604180837542,17597.581942309607,280.4759926163732,0.9826597616768328,10.890883372932775,20.577305630754243,5885.775049505355,0.24711980225552027,0.051681856462266355,0.0008810729216083868
Turkey,3039,27703,Yaprakli,-0.008222824795395628,0.5705763989281221,4776.762374897906,0.0017814661801930191,1525.022537680648,279.4144349371496,1.1709221433792918,1.818499353100375,2.288533107673957,343.0545544348766,0.32360071539878843,0.07204166850931558,0.001158138860905944
Turkey,3039,27702,Sabanozu,0.09046758854303709,0.7289188886745379,4259.2316678808165,0.002232132573320586,6550.018569022523,279.68470881851164,0.8443452077164477,7.62623069849696,9.999607602298406,1283.419859589406,0.28451599180698395,0.04292602920080488,0.0010172740333530617
Turkey,3040,27704,Alaca,0.034387602257980925,2.4439879402971245,19555.914580972283,0.00356853609550692,7947.115545753069,278.1364273410264,1.0137252811504152,4.223396131449645,9.347907013146983,2708.290034552068,0.3272884894501079,0.04570507313094665,0.0011767192545722018
Turkey,3040,27705,Bayat,0.05951172306239829,1.8849813666303548,10316.87571310788,0.0026063426308212748,1417.0447703482366,281.2112522670841,0.9431115818857531,2.5559751488568736,4.439169902248248,757.8315964881286,0.32960547506809235,0.07094768409286518,0.001172092056810889
Turkey,3040,27706,Bogazkale,-0.005220486405518098,0.336677801739702,1656.3460433368127,0.003285997687792766,881.8347277258467,279.4138469684065,0.9640852050427783,3.1450027244326018,4.1793297435372345,400.1553466439835,0.34107581377029417,0.034475947535086204,0.0012206832892174447
Turkey,3040,27707,Dodurga,0.04454495509612762,0.7503716808019438,3810.8097803946034,0.005928063381667186,1269.0132378652372,282.2545273699394,1.2917430482097234,4.229470318317065,5.4004075800573075,635.7971988707767,0.38368230772589496,0.0578154865151087,0.0013593486393329603
Turkey,3040,27709,Kargi,0.006500988026093814,1.0006635140907767,9358.660672103211,0.005036474962529143,17772.16779911899,281.91685473116263,2.9262388716993377,3.6183503158751646,5.522760883241159,1447.5813497044576,0.43141959309577943,0.08407540617880487,0.0015303079112002132
Turkey,3040,27708,Iskilip,0.08833359622085918,3.9321086014381343,26115.32077327188,0.00420442887765992,18062.563759406803,281.40841675897735,1.6908598309306906,3.873540325848331,7.920087242446053,1416.1967238385882,0.3813297003507614,0.0771208997953141,0.0013550756752146662
Turkey,3040,27710,Lacin,0.006255401320966018,0.32484853927161805,1495.4055980000235,0.005145451537412359,1761.0312481313383,281.6131802898741,0.7847789233424923,3.2488446090768366,3.395109394612985,385.2237866668519,0.3642088919878006,0.06834323518296928,0.0012932949076208291
Turkey,3040,27711,Mecitozu,0.027265006438329527,1.151135974414846,9311.395932475227,0.0034695720967337215,1269.1662445275247,279.8138345727362,1.4471206477455953,2.8419868569175737,3.4648910339468038,1208.0561700734254,0.35085414538105714,0.05604277105941188,0.0012538841973871537
Turkey,3040,27712,Merkez,0.08413585889197564,8.137447731793195,262185.381629155,0.009017594062923035,16755.633533833006,279.9416577638468,1.5453653192645849,8.601519060864504,16.693225387914598,15878.404186355874,0.34182769304416216,0.06970482871090779,0.0012210676173551888
Turkey,3040,27713,Oguzlar,0.04765621957483214,0.7050310019806743,2795.9106635911085,0.007570967501318628,10272.306262917966,281.49444487152294,1.7003162142896575,2.834486304524361,3.0584378278301405,245.85556111164632,0.4223334491252899,0.04014641824390294,0.0015003260519689736
Turkey,3040,27714,Ortakoy,0.008992937772804941,1.4360376162480781,4454.14761246133,0.0028232335155894636,1230.7403121111258,281.4519305233422,1.2042120740494604,3.8571837229662385,4.546193526616128,342.3817787032973,0.3570752441883087,0.06184561438571276,0.001268689980290239
Turkey,3040,27715,Osmancik,0.04636478407916492,2.648873871323005,29408.543626506016,0.004798038614880636,12641.63936319434,282.9542762355384,1.3965845811529596,5.3660200958626145,12.520633504449387,3347.9125458488397,0.3624594807624817,0.07195332090270172,0.0012809825162732693
Turkey,3040,27716,Sungurlu,0.024184895676757304,3.025966583989984,31478.876151088858,0.003756398413322979,13885.611847030343,280.5281296233748,1.0499378615474726,3.9432730073541737,8.541328291601326,3366.689174600418,0.29776149136679514,0.0526231009531513,0.001061431849157363
Turkey,3040,27717,Ugurludag,0.013871872498256402,0.1855903453908378,1619.5259303166483,0.002255748921980436,1077.5947771907597,281.8875410230669,0.7930241305406647,2.0806201347125,3.2514544008019937,544.9592894017563,0.3036707142988841,0.0478513859095832,0.0010772761122991054
Turkey,3042,27738,Cermik,0.18701386107792262,3.4558902672053673,39398.53052327763,0.0030858197876491946,7328.090948660971,285.74308872252664,1.339569461177155,2.5672414409970994,6.17726202547579,1534.36470218276,0.3383536380996187,0.05337527953578581,0.0011841183617504044
Turkey,3042,27737,Bismil,0.35893025342226786,3.4957450814003233,57485.335557837374,0.004239139528376123,15197.21459274796,283.6999819314246,1.1432027440522445,6.771527697005776,12.301593910116967,4984.030270070287,0.3858773559331894,0.058621014583793256,0.0013601599594971526
Turkey,3042,27739,Cinar,0.3450138039826338,2.5101081875339077,52393.17973628976,0.0022361168504912623,7750.805430554009,284.2078174100496,0.9818140393789059,2.7000770209152605,6.088795575789291,1929.9832889382171,0.35028846859931945,0.04892191597889436,0.0012325082110388609
Turkey,3042,27741,Dicle,0.17569557457749058,3.4445296008878197,21686.42011352729,0.001906154196459741,499.4638959777809,284.9782771667829,1.056081343850657,3.2504594091047934,6.6138892717280635,860.6324232334443,0.3313112035393715,0.02983675242344904,0.0011625840637160998
Turkey,3042,27740,Cungus,0.058420631444674555,1.5377978171782996,9260.458231451095,0.0021362918431789353,8579.499540229544,284.5116012113423,1.5117679093421361,2.758211094585812,4.908697902313973,502.91382291281303,0.30594606533646584,0.045292170816289834,0.0010753377508469382
